BatchId,OriginAirportCode,DestinationAirportCode,FlightDate,FlightType,FareType,FinalScore,FareDollarAmount,TaxDollarAmount,FarePointsAmount,TaxPointsAmount,IsDomesticRoute,IsHotDeal,IsPriceDrop,PriceDropFromDollarAmount,LastDayOfFare,DaysOfWeek,IsNewPriceDrop
34691,UVF,JFK,2017-12-20 15:00:00.000,NONSTOP,POINTS,389.70,252.76,112.76,10400.00,78.76,0,0,0,0.00,2018-03-28 13:03:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday",0
34691,UVF,JFK,2017-12-20 15:00:00.000,NONSTOP,LOWEST,389.70,252.76,112.76,0.00,0.00,0,0,0,0.00,2018-03-28 13:03:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday",0
34691,UVF,JFK,2017-12-06 14:32:00.000,NONSTOP,POINTS,190.90,323.76,117.76,15300.00,78.76,0,0,0,0.00,2018-03-28 13:03:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,UVF,JFK,2017-12-06 14:32:00.000,NONSTOP,POINTS,301.73,286.06,115.06,12700.00,78.76,0,0,0,0.00,2018-03-28 13:03:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday",0
34691,UVF,JFK,2017-12-06 14:32:00.000,NONSTOP,POINTS,291.48,285.06,115.06,12600.00,78.76,0,0,0,0.00,2018-03-28 13:03:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday",0
34691,UVF,JFK,2017-12-06 14:32:00.000,NONSTOP,LOWEST,190.90,323.76,117.76,0.00,0.00,0,0,0,0.00,2018-03-28 13:03:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,UVF,JFK,2017-12-06 14:32:00.000,NONSTOP,LOWEST,301.73,286.06,115.06,0.00,0.00,0,0,0,0.00,2018-03-28 13:03:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday",0
34691,UVF,JFK,2017-12-06 14:32:00.000,NONSTOP,LOWEST,291.48,285.06,115.06,0.00,0.00,0,0,0,0.00,2018-03-28 13:03:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Sunday",0
34691,UVF,BOS,2017-12-24 17:34:00.000,NONSTOP,POINTS,81.86,209.76,109.76,7500.00,78.76,0,0,0,0.00,2017-12-24 17:34:00.000,,0
34691,UVF,BOS,2017-12-24 17:34:00.000,NONSTOP,LOWEST,81.86,209.76,109.76,0.00,0.00,0,0,0,0.00,2017-12-24 17:34:00.000,,0
34691,UVF,BOS,2017-12-16 17:34:00.000,NONSTOP,POINTS,31.84,306.56,116.56,14100.00,78.76,0,0,0,0.00,2018-01-27 16:07:00.000,Saturday,0
34691,UVF,BOS,2017-12-16 17:34:00.000,NONSTOP,POINTS,38.21,242.06,112.06,9700.00,78.76,0,0,0,0.00,2017-12-24 17:34:00.000,,0
34691,UVF,BOS,2017-12-16 17:34:00.000,NONSTOP,LOWEST,31.84,306.56,116.56,0.00,0.00,0,0,0,0.00,2018-01-27 16:07:00.000,Saturday,0
34691,UVF,BOS,2017-12-16 17:34:00.000,NONSTOP,LOWEST,38.21,242.06,112.06,0.00,0.00,0,0,0,0.00,2017-12-24 17:34:00.000,,0
34691,UIO,FLL,2018-01-28 00:59:00.000,NONSTOP,POINTS,2.96,237.71,156.71,6000.00,133.21,0,0,0,0.00,2018-03-27 23:59:00.000,"Monday,Tuesday",0
34691,UIO,FLL,2018-01-28 00:59:00.000,NONSTOP,LOWEST,2.96,237.71,156.71,0.00,0.00,0,0,0,0.00,2018-03-27 23:59:00.000,"Monday,Tuesday",0
34691,UIO,FLL,2018-01-21 00:59:00.000,NONSTOP,POINTS,0.52,263.47,159.47,7800.00,135.97,0,0,0,0.00,2018-03-28 23:59:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,UIO,FLL,2018-01-21 00:59:00.000,NONSTOP,LOWEST,0.52,263.47,159.47,0.00,0.00,0,0,0,0.00,2018-03-28 23:59:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,UIO,FLL,2018-01-17 00:59:00.000,NONSTOP,POINTS,0.00,288.11,162.11,9400.00,138.61,0,0,0,0.00,2018-03-28 23:59:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,UIO,FLL,2018-01-17 00:59:00.000,NONSTOP,LOWEST,0.00,288.11,162.11,0.00,0.00,0,0,0,0.00,2018-03-28 23:59:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,UIO,FLL,2017-12-06 00:59:00.000,NONSTOP,POINTS,0.00,316.11,165.11,11200.00,141.61,0,0,0,0.00,2018-03-28 23:59:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,UIO,FLL,2017-12-06 00:59:00.000,NONSTOP,LOWEST,0.00,316.11,165.11,0.00,0.00,0,0,0,0.00,2018-03-28 23:59:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,TPA,SJU,2018-01-18 14:40:00.000,NONSTOP,POINTS,672.63,121.10,28.10,6900.00,5.60,1,0,0,0.00,2018-03-28 14:27:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,TPA,SJU,2018-01-18 14:40:00.000,NONSTOP,POINTS,830.55,101.10,28.10,5500.00,5.60,1,0,0,0.00,2018-03-27 14:27:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,TPA,SJU,2018-01-18 14:40:00.000,NONSTOP,POINTS,652.72,97.10,28.10,5200.00,5.60,1,0,0,0.00,2018-02-14 14:31:00.000,"Monday,Tuesday,Wednesday,Thursday,Saturday",0
34691,TPA,SJU,2018-01-18 14:40:00.000,NONSTOP,LOWEST,672.63,121.10,28.10,0.00,0.00,1,0,0,0.00,2018-03-28 14:27:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,TPA,SJU,2018-01-18 14:40:00.000,NONSTOP,LOWEST,830.55,101.10,28.10,0.00,0.00,1,0,0,0.00,2018-03-27 14:27:00.000,"Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday",0
34691,TPA,SJU,2018-01-18 14:40:00.000,NONSTOP,LOWEST,652.72,97.10,28.10,0.00,0.00,1,0,0,0.00,2018-02-14 14:31:00.000,"Monday,Tuesday,Wednesday,Thursday,Saturday",0
